language,setCode,translation
Italian,MB1,Mystery Booster
Japanese,MB1,
Korean,MB1,
Portuguese (Brazil),MB1,
Russian,MB1,
Spanish,MB1,Mystery Booster
Chinese Simplified,MBS,
Chinese Traditional,MBS,
French,MBS,Mirrodin assiégé
German,MBS,Mirrodins Belagerung
Italian,MBS,Mirrodin Assediato
Japanese,MBS,
Korean,MBS,
Portuguese (Brazil),MBS,
Russian,MBS,
Spanish,MBS,Mirrodin sitiado
Chinese Simplified,MH1,
Chinese Traditional,MH1,
French,MH1,Horizons du Modern
German,MH1,Modern: Horizonte
Italian,MH1,Orizzonti di Modern
Japanese,MH1,
Korean,MH1,
Portuguese (Brazil),MH1,
Russian,MH1,
Spanish,MH1,Horizontes de Modern
Chinese Simplified,MH2,
Chinese Traditional,MH2,
French,MH2,Horizons du Modern 2
German,MH2,Modern: Horizonte 2
Italian,MH2,Orizzonti di Modern 2
Japanese,MH2,
Korean,MH2,
Portuguese (Brazil),MH2,
Russian,MH2,
Spanish,MH2,Horizontes de Modern 2
Chinese Simplified,MID,
Chinese Traditional,MID,
French,MID,Innistrad : chasse de minuit
German,MID,Innistrad: Mitternachtsjagd
Italian,MID,Innistrad: Caccia di Mezzanotte
Japanese,MID,
Korean,MID,
Portuguese (Brazil),MID,
Russian,MID,
Spanish,MID,Innistrad: Cacería de medianoche
Chinese Simplified,MIR,
Chinese Traditional,MIR,
French,MIR,Mirage
German,MIR,Trugbilder
Italian,MIR,Mirage
Japanese,MIR,
Korean,MIR,
Portuguese (Brazil),MIR,
Russian,MIR,
Spanish,MIR,Espejismo
Chinese Simplified,MM2,
Chinese Traditional,MM2,
French,MM2,Modern Masters 2015
German,MM2,Modern Masters 2015
Italian,MM2,Modern Masters 2015
Japanese,MM2,
Korean,MM2,
Portuguese (Brazil),MM2,
Russian,MM2,
Spanish,MM2,Modern Masters 2015
Chinese Simplified,MM3,
Chinese Traditional,MM3,
French,MM3,Modern Masters 2017
German,MM3,Modern Masters 2017
Italian,MM3,Modern Masters 2017
Japanese,MM3,
Korean,MM3,
Portuguese (Brazil),MM3,
Russian,MM3,
Spanish,MM3,Modern Masters 2017
Chinese Simplified,MMA,
Chinese Traditional,MMA,
French,MMA,Modern Masters
German,MMA,Modern Masters
Italian,MMA,Modern Masters
Japanese,MMA,
Korean,MMA,
Portuguese (Brazil),MMA,
Russian,MMA,
Spanish,MMA,Modern Masters
Chinese Simplified,MMQ,
Chinese Traditional,MMQ,
French,MMQ,Masques de Mercadia
German,MMQ,Merkadische Masken
Italian,MMQ,Maschere di Mercadia
Japanese,MMQ,
Korean,MMQ,
Portuguese (Brazil),MMQ,
Russian,MMQ,
Spanish,MMQ,Máscaras de Mercadia
Chinese Simplified,MOM,
Chinese Traditional,MOM,
French,MOM,L'invasion des machines
German,MOM,Marsch der Maschine
Italian,MOM,L’Avanzata delle Macchine
Japanese,MOM,
Korean,MOM,
Portuguese (Brazil),MOM,
Russian,MOM,
Spanish,MOM,Marcha de las máquinas
Chinese Simplified,MOR,
Chinese Traditional,MOR,
French,MOR,Leveciel
German,MOR,Morgenluft
Italian,MOR,Aurora
Japanese,MOR,
Korean,MOR,
Portuguese (Brazil),MOR,
Russian,MOR,
Spanish,MOR,Alborada
Chinese Simplified,MRD,
Chinese Traditional,MRD,
French,MRD,Mirrodin
German,MRD,Mirrodin
Italian,MRD,Mirrodin
Japanese,MRD,
Korean,MRD,
Portuguese (Brazil),MRD,
Russian,MRD,
Spanish,MRD,Mirrodin
Chinese Simplified,NEM,
Chinese Traditional,NEM,
French,NEM,Némésis
German,NEM,Nemesis
Italian,NEM,Nemesis
Japanese,NEM,
Korean,NEM,
Portuguese (Brazil),NEM,
Russian,NEM,
Spanish,NEM,Némesis
Chinese Simplified,NEO,
Chinese Traditional,NEO,
